USER_ID,alaska basil,alcohol future,alice ticket,alien potato,asia jacket,aztec iris,balance hostel,betty today,boston house,bronze sweden,bundle forget,cairo monarch,choice copy,cinema complex,cipher empty,cockpit circle,comedy clean,daniel global,degree forever,diana chariot,diesel jason,diploma vocal,epoxy insect,explain heaven,flame street,fractal heart,fresh shave,frozen command,gelatin prime,glass alpine,good info,gossip cotton,hand inca,harbor moral,helena poncho,henry distant,invent topic,judge sunday,july miami,kermit desert,leonid antenna,lesson switch,lexicon ingrid,liquid baggage,logic channel,loyal jungle,master nobody,medusa cuba,mercy chaos,mineral barcode,moment seminar,motel marvin,neptune before,ninja saga,north speed,nurse october,office triton,pardon thomas,parody athena,pegasus respond,percent edison,plume cowboy,provide flex,reverse royal,rider shine,sabine emotion,saint texas,salon pulse,scale phone,season arthur,segment meter,senator ozone,serial organic,shannon resume,sheriff java,silk gizmo,silver plate,similar malta,siren junior,solid express,spray karma,stella micro,stop door,sushi import,tarzan juliet,telecom pluto,textile strange,theory france,torso cricket,tower fantasy,trivial neon,tuna relax,tunnel nerve,turtle pierre,update vibrate,vampire teacher,ventura next,vodka bahama,volume pasta,zero nikita
101016,7,3,,,,,4,,1,,2,,3,,,,1,,4,8,2,3,,1,1,9,2,6,,,5,4,7,,,,0,,,,,1,10,,,7,4,4,5,1,,,,,8,,,,7,,5,1,,,,7,8,3,7,,,,,,4,,,8,5,10,1,,5,,,6,4,,5,,,,6,,9,8,7,10,6,7
101021,,,4,7,,6,,,,,0,,,9,,2,7,1,,3,0,10,,1,,0,3,,9,0,,,0,2,0,4,,10,,1,8,,,5,,2,6,,,,0,,2,,,,,,10,9,,,2,10,2,,,,1,8,,,,4,0,,4,0,7,,,,10,5,,,,,0,8,,,,,9,0,8,10,8,2
101022,,,,,3,5,,,,,,,,,,,4,,5,,7,,,,,,,,4,,6,,,6,,,,3,6,6,,,,6,3,6,,,,7,7,6,6,,4,6,4,4,3,4,6,4,,3,,8,,5,,4,,,,,7,5,,,4,,,,,5,5,,5,6,8,,,,6,7,3,7,,3,,
101029,,8,8,,,8,,,,,0,,5,8,,,7,0,5,5,4,9,,1,,,,6,,1,2,,0,4,,,3,,,1,8,,1,,9,3,,,,,,,,9,,,3,,10,,2,,7,10,1,2,10,,,4,2,7,5,,0,,8,3,,5,6,9,9,2,,,9,2,,5,5,5,,3,9,,6,8,,
101034,4,2,0,,,4,,,,2,3,,,1,7,7,,8,,5,,,,,8,1,8,8,8,,,6,4,,1,1,,7,,,9,,,,,,10,6,7,9,9,,,9,1,,,,8,7,,,5,10,,,,,4,1,,1,3,6,,,,4,8,,9,5,,5,10,,,9,,,9,0,,,6,,,,8,8
101039,,,5,,8,5,,5,5,4,,7,,9,6,,8,1,6,4,,10,8,,3,,,3,8,0,1,4,,2,0,5,4,10,,1,,10,,6,10,,,7,1,1,0,1,,9,,,5,,10,,2,,,,,,,6,,,4,7,,4,0,1,,1,5,9,2,8,,5,,1,,2,0,,7,,1,,,,7,10,,4
101044,7,2,,7,4,2,7,1,8,,9,1,5,,6,9,,8,,3,2,5,,7,3,,,2,6,5,,4,8,,8,,7,,2,,4,1,9,3,6,,6,5,7,2,6,7,2,2,8,,,5,3,4,5,10,2,2,8,2,,,,8,7,,,6,5,,,,,8,2,1,,,4,8,1,5,3,7,,,5,,,,6,,3,2
101049,6,7,9,7,1,5,9,,4,7,,,2,,,,5,2,,,,,10,,,,3,3,,3,,5,,,,9,1,,5,,,,9,2,,,,,,,2,,,,,,,5,3,3,7,1,,1,7,7,8,3,6,9,,8,,4,4,5,,,2,,2,6,9,,0,5,3,,8,1,,,4,,5,,5,7,2,
101053,6,,,,,2,6,1,8,6,,,,6,,,,7,,,1,,,,2,,3,2,6,3,,,,3,4,2,6,9,2,,5,4,8,,7,3,,,,1,,,,3,,3,,,6,,,,2,5,7,,2,,5,8,7,,7,6,,,2,1,8,9,,2,,8,,6,2,4,,,7,6,3,1,,1,6,,4,
101055,,3,4,,,3,,2,,7,8,2,,3,,8,5,8,,,,3,6,,4,7,4,,5,,,5,9,5,9,,6,5,,,,,,3,,7,4,4,,,,7,4,,7,5,7,4,1,,6,8,,,8,6,,,,,6,4,,6,9,8,,,,5,4,,3,,6,,,,8,,5,,7,,,5,6,4,,
101056,,,6,4,6,5,,6,4,,,4,5,,6,,,,5,,,4,,3,,5,5,5,,5,4,,6,,,3,6,,4,4,,,5,7,,,7,,,,5,,5,,4,4,,5,6,,4,5,8,6,,6,5,,5,,,5,5,6,,,,,,,4,,4,5,5,,,6,,6,7,4,5,,,6,,5,,
101062,5,7,4,,4,,,3,6,4,7,,,6,,4,7,5,,4,,7,,8,,5,4,,,4,,,4,5,,,,5,7,7,4,8,,2,,,,,4,5,5,,,2,,6,,,,,,,2,2,,,,4,,,,5,6,,,,,,5,4,,,8,,3,,5,,,3,2,,,7,3,,,,,
101072,6,8,9,,1,,,,,7,,,,,4,5,5,,,,,,,,2,,,2,,,,,6,,9,,,,,8,2,,9,2,,9,0,,5,,2,,,,,9,,6,3,,7,1,,,,,9,,,,9,9,7,4,,3,6,5,,,3,,9,4,,,2,3,9,,,9,,10,5,4,5,,1,
101081,8,2,2,8,4,,,1,9,7,,1,,3,,10,5,,5,4,2,4,,9,2,,,3,4,,5,,9,3,,1,,8,,,,,9,3,,,6,3,8,,,8,,1,,,,3,1,3,5,,,1,,,,3,,8,8,5,,6,7,,1,,8,8,,1,,9,,,,,6,,6,5,,,2,1,4,7,,3
101083,,4,10,,,,,,2,,4,,1,,1,,,,,8,,,1,,3,0,1,10,,9,6,,,0,4,8,0,,,,4,3,3,8,1,8,3,,5,,1,7,,,8,,3,3,,6,,,,9,7,,1,,,3,7,7,1,,6,,1,,,,9,,6,,,,3,7,9,,1,,5,4,8,6,6,1,,6
101090,,,9,5,,6,,,,,5,,,,,,,3,,,,,7,3,,8,,4,,,6,,,,7,,2,4,4,5,,5,,4,4,,3,4,,2,3,,,5,,6,2,,,5,,3,6,2,5,,7,,6,7,6,,,6,5,5,5,5,4,,,,,,2,,4,4,,3,3,,4,,,6,,7,,5
101099,,,3,7,3,4,4,,,,6,,,7,7,7,5,3,,6,,4,6,9,,7,6,,,,3,3,5,6,,2,5,6,9,4,6,6,,,6,,,,,7,,5,7,,,,2,5,8,5,,7,7,,,5,7,3,,,6,6,,5,,,4,,,,4,,,6,,5,,3,,,5,,,,3,1,1,5,4,6
101105,8,,,,6,,,,9,,,,4,,6,,7,8,,,,7,,,,4,2,1,8,2,,4,,,7,,,9,,,3,1,9,,8,,5,,8,0,,,1,1,,4,,,,,,,0,,,,1,,6,8,7,7,,,4,,,,,9,,,7,,5,,1,,,7,9,8,,0,,,,10,2,1
101112,8,,,6,1,4,,,6,4,,4,,7,8,,,,,,8,2,,8,6,9,,2,5,,6,,,9,8,,,4,,,5,,,,,,5,,5,5,9,,,3,4,8,,,3,3,,8,4,1,4,5,,7,,,4,3,,6,,2,8,,6,3,3,,5,,6,9,6,,3,6,8,,,5,,,6,,,
101122,8,,2,7,5,,,,8,7,9,,,,,9,,,5,,,4,8,7,,7,3,,5,,6,,,4,9,2,,,,,,0,,,3,6,5,5,,,,,,,9,5,,4,,3,,9,2,,9,,1,,8,7,,6,,6,8,,,,8,7,3,1,,,,,,7,6,,,6,,,,,6,,,3
101127,6,4,,6,,5,,,,,4,6,,,,6,3,3,,,3,6,,2,2,,,5,3,5,4,5,6,,,5,,4,,6,3,3,9,6,4,6,,4,,,,,5,,8,8,2,4,,,6,,7,,,,7,,,7,6,,,,,5,6,,,8,,,,7,1,,4,4,,3,4,,6,6,,6,,,5,5
101130,,,,5,,4,6,4,7,,,,,,,8,,7,5,5,,,5,,,,,4,3,8,,5,9,7,9,,,,5,,,1,7,4,,6,,,8,8,,8,6,,,6,5,3,,,6,7,,,,,,4,,5,6,4,,5,,,,8,6,4,,,,6,6,8,,,,4,,5,,8,,5,3,,2,5
101133,,,,4,5,,2,,,,1,3,,5,9,7,,3,,9,,,,,1,,,,,,,,,9,,,0,5,,,4,,,9,5,,,4,,,2,,,7,8,7,,2,9,4,,,10,9,,6,,,,,3,7,,9,3,,6,,,,,5,2,9,,,5,5,2,6,,,,2,,,,,,
101143,9,,10,,,,,0,,10,2,,0,,0,,,8,9,3,0,,1,,1,0,,10,10,6,9,,5,0,,10,1,2,0,8,1,,0,1,,10,,,,,,,0,9,,,,3,0,,,,1,8,5,,,,,,,,1,,,,5,1,,1,9,9,8,4,,,,9,,0,,,,,,,10,,6,2
101147,10,,0,2,1,,,,5,,1,0,8,5,,,,,,0,,,8,2,,10,,,10,0,,,2,,,10,10,0,,,2,,0,,,7,0,10,8,1,10,1,0,2,,10,10,,0,,9,9,,0,1,,,,,1,,,10,,10,,,2,7,,,4,,,,10,10,,3,0,10,10,8,0,,10,10,10,10,
101156,,2,0,,9,,1,,,,3,,9,,,,,9,7,,9,,0,7,9,0,9,,,7,2,7,,0,1,,,,,2,,4,,9,8,1,,6,7,10,9,5,,9,,1,10,,8,7,2,9,4,,,,,,3,1,2,1,,5,,,7,,8,0,9,,,3,,6,,9,,10,,,,0,,3,,,,
101158,6,,,5,,4,6,,,,6,3,,,,6,,6,5,5,,,,4,5,5,5,4,,4,,5,,,,5,6,,,,,,,,6,,4,5,,,,5,,,,5,,,,5,,6,4,,,5,4,6,,5,5,4,,5,,5,,4,,5,5,,,5,5,6,,,5,,6,,,,,5,,6,,
101166,4,3,5,,,4,,3,,4,,,,,,,6,,6,,,,,,4,,,,,3,,,,4,,,5,7,,5,,5,6,4,7,,6,6,,,,6,,,6,4,5,4,6,6,3,,,,5,3,,,5,,,7,6,4,4,6,4,,7,7,,,,,,,,,,,,6,,3,6,2,6,,,3
101168,7,7,,,,,7,,6,,,,,2,,8,3,8,5,,,,,,6,,6,6,,,,5,10,7,,,5,,,,3,0,8,,1,7,,,9,9,,,7,1,,6,3,2,,1,8,,7,,,,1,,9,4,,,,6,,,,9,,,7,,1,,,8,,7,10,4,3,3,,9,,,2,0,1,7
101173,,8,7,,,5,3,5,6,3,,,5,6,5,4,6,,5,8,,6,,7,,,,,,7,,,,2,1,,,7,,,6,5,8,9,3,4,9,2,,7,,,7,,,,,3,,6,3,,,,,,5,2,,7,,,2,,,7,,6,5,,,,4,6,,,2,3,4,,,2,,,,,1,2,2,
101179,,,0,,7,,,7,9,,,3,8,2,3,,,,5,,,,,,8,1,,,,4,,,4,,2,,,,7,,,8,0,6,,,8,,6,,8,,5,,,2,9,,,,4,,3,7,,,1,,,2,,2,5,3,,,,,7,1,8,5,3,2,,4,6,,4,8,,2,,,2,,4,,4,
101181,,5,,,,4,8,,5,,,1,5,2,,8,,,5,6,7,2,5,,,9,,6,3,,7,5,,,10,4,5,,2,8,2,0,7,,1,,,2,,,9,8,,,,,,,,2,8,,,1,,9,,,8,4,8,3,3,,,,,8,5,,7,3,,,6,,2,7,10,,,3,8,8,2,,3,,,
101184,2,6,,4,,,3,8,,,,,,8,6,2,,,5,,4,,,2,6,2,,4,,1,3,,,,0,6,,,,,,,,6,,3,5,6,,,,,5,8,3,4,4,,9,,3,,,,2,,9,7,2,,,,,4,1,1,,,,,,,8,,,3,8,3,1,,,,,3,,4,,8,,6
101187,,,,,,,,3,,,1,7,,8,6,2,,1,6,,0,,8,,2,0,2,,,,2,,0,,,,4,10,,1,,,,5,9,2,5,,,0,,,1,8,6,,,8,,,2,,2,10,,,,,,8,4,,,4,,3,4,,,9,2,,,5,2,1,,2,,,7,,1,,9,1,,,8,
101194,10,1,,,,,,4,,,,1,5,,,6,4,9,5,1,6,4,,1,5,7,,4,,1,8,8,,9,,,9,,,6,3,6,1,,,7,1,8,,1,,,,4,8,8,,,1,,,6,,1,,,,,,,,2,,5,,1,9,,,,3,,7,3,,,9,,,,,8,6,1,8,,,9,,
101199,3,9,,,1,,,,,,7,,8,,8,8,,,,6,8,3,,9,7,8,,1,,4,2,,5,8,,,,,,,,6,,6,8,2,,5,4,,,,,4,,7,,6,8,4,,,,3,,5,,5,7,8,5,,,,1,3,,,7,7,3,,,6,,7,,2,1,9,,,,7,,,1,6,5,
101204,4,,,4,,5,,5,4,,,6,5,,4,,,4,5,,5,5,,4,5,,5,,,,5,,,5,4,,4,,,5,,6,4,5,5,5,5,,,,,,5,6,,,4,,,6,5,4,5,,,5,,5,4,,,,,,,4,5,5,5,,,6,5,,5,,6,5,5,,5,4,5,5,6,,,4,5,
101208,8,,7,3,,6,,3,3,,4,3,,3,3,3,,,6,,3,,,1,,,3,,8,,,7,,4,7,,5,,,,3,,2,,,7,1,,6,2,,,,,8,4,9,,2,,6,4,2,,,4,,,3,,,,5,,,,6,,4,,6,6,6,4,7,5,7,,7,,5,,6,2,8,,,,6,3
101213,3,7,,,,6,4,,,4,,,6,5,,3,5,4,,,7,4,,5,7,6,7,5,4,,,5,4,7,3,,,,,4,6,,3,5,5,5,,,,,,5,7,7,3,,3,,,,5,,7,6,3,7,7,6,,3,3,,4,,6,,7,7,,,,8,,3,6,,7,,6,4,4,4,5,,,,4,,6,
101218,,6,4,,,,4,4,,,6,,,,,5,3,6,6,3,,4,,6,5,,5,4,,,5,,,3,,,6,,6,4,,,4,,,,5,,5,6,,,5,5,3,4,6,,,6,4,,4,5,5,4,,5,,4,4,6,,,,,5,4,,4,6,,,,,4,,7,,,6,5,4,4,4,,,4,,5
101227,5,4,,,,,,,,,4,3,,4,6,6,3,5,6,5,6,,,,,4,,,,,5,,4,4,4,,,,4,4,6,,,5,,,7,5,5,,5,,5,6,4,4,4,4,,6,,,5,,5,4,6,5,6,4,,5,,,,,,,6,6,5,5,,7,,5,6,,,,7,4,5,,,,6,,7,
101235,5,,,,4,,,3,,8,,,,,6,,1,,,,,,,1,1,,3,,3,5,,,6,9,7,6,1,,,,2,2,10,4,,7,,3,,,3,,,5,8,,,,,,5,,,2,6,7,9,4,7,8,6,,6,7,4,6,7,6,4,,2,6,,7,1,5,,,,,,8,5,7,8,,,9,,
101236,,7,8,5,,5,3,5,5,,,7,5,5,,,7,2,6,8,4,,4,,5,,4,,,6,,,5,3,,2,2,,,,,,7,,4,,8,3,,7,2,,,6,,,1,2,,7,,,,8,,6,,3,,5,,,,,3,,3,6,,,5,,,6,3,3,4,3,,6,,,4,,,1,2,,2,7
101237,,0,,2,,5,,9,,,1,1,6,1,9,7,1,5,,,,,1,1,4,,4,9,8,,,,,4,4,0,1,6,1,3,8,0,9,,8,2,,6,,,,,8,,,,2,1,9,,5,5,10,10,3,3,2,4,5,1,1,,,9,3,,4,,7,,2,,1,9,9,7,,,,9,10,,7,,,8,6,9,10,9
101240,,,,,,,4,6,,4,,,5,6,4,4,,,5,,,6,5,,6,4,4,,2,8,2,3,,,1,2,,7,6,,6,,,,3,,9,,,,1,6,8,,,,0,,9,6,,4,,8,6,,,2,7,,6,,1,,,,2,7,,8,,6,,,,,,3,5,,3,,,,,,1,2,,
101242,,,1,3,2,5,8,,3,7,,,6,,6,,4,9,,,8,3,7,3,6,8,,3,,2,8,7,4,,,,,2,,,4,,1,,,6,1,,5,,10,,3,4,,,,,,,8,5,1,,2,6,6,9,,,3,,9,5,9,1,9,,4,,,,6,,,9,9,7,6,,8,,6,3,6,,10,,9,
101251,,7,4,,4,,,7,6,,,,7,7,,,6,,5,6,,,,,6,,,3,3,,4,4,,,,3,,5,,4,,6,7,6,7,4,,,5,7,4,5,7,5,,6,2,5,7,6,,,,,,,,5,6,,,6,,,3,,,,,,,5,5,5,,5,,3,,,,,,,4,,,,5,6
101257,,8,,,8,,,3,,6,8,7,3,5,3,3,,2,6,9,1,,5,4,4,1,,,2,9,,,,,1,2,,9,,3,6,5,8,10,1,,,1,3,,0,,,7,4,,,,,6,3,4,9,,,4,,,6,,8,7,0,4,1,9,,5,,,7,,4,8,,,1,3,,9,,1,2,6,,0,0,,,
101263,,3,,3,8,6,,4,,,,4,,,,2,,,,5,,6,,,,3,3,,6,6,,,,3,,,3,,1,,,4,2,,,7,3,,6,4,,6,,6,,,6,3,,,5,,,6,,6,2,,,,,5,,4,8,6,5,,3,4,7,7,5,,7,4,,,,2,,2,6,,,8,8,2,,5
101266,6,,8,,5,5,4,,,,,5,4,,,,,,,6,,,,,,,,5,5,6,,4,,,6,,2,,4,5,4,3,8,,5,5,5,5,,3,4,6,,,6,,3,4,6,,5,4,6,5,,,,4,,,4,6,5,6,,6,5,6,,,3,,,,4,,,,5,,,6,5,5,7,,6,7,,6
101268,3,,,4,,7,4,,,,,7,,,2,,,,7,7,,7,2,2,4,1,,,,,5,5,5,,,7,1,,,,5,,3,7,,7,5,4,6,,2,,,7,6,,,,6,,4,,7,9,,,,3,,4,5,,,4,,8,,4,,,8,,,,,1,4,,8,,2,,,5,7,5,,,,
101278,,,10,3,,,,,2,9,5,,1,,,,6,4,,,,9,2,,2,0,,10,7,,6,6,5,0,3,8,1,,,7,,2,2,5,,,2,3,,2,,8,,7,,,5,,,7,,2,3,9,,4,,,3,2,5,8,1,,9,,2,,,6,7,8,5,6,6,,3,,9,1,2,,5,2,,6,9,,1,
101282,2,,,,,8,4,2,,,,7,,,,1,4,2,,8,,,1,0,2,,1,10,,,,,,,2,,0,6,0,6,4,4,,,,,3,3,5,4,,,,8,,1,,2,7,,4,,7,10,7,,1,,,3,6,8,,,,9,1,3,2,6,9,,,5,4,,,,9,2,1,0,5,4,8,,6,1,1,
101287,8,2,,7,,,,,,7,9,,5,3,5,,,9,5,,4,,8,,3,8,,3,4,8,6,,9,5,10,,7,,,8,,,9,3,3,6,6,,,4,8,8,,1,,,,4,,2,6,9,,,9,5,1,3,9,7,,,6,,,,2,,,7,,1,,,,,1,,7,,6,6,7,5,2,,4,5,1,3
101297,,9,,8,,,10,1,9,1,9,9,5,6,,2,10,5,4,1,5,,,10,,3,,,4,2,8,,,3,,10,,5,9,,,10,,1,,7,1,8,3,,7,,4,,,,9,8,,,6,,,,,,,,4,7,8,,,0,,3,4,,5,1,,5,,2,3,,4,3,8,2,,8,3,9,,1,4,1,1,1
101301,,,3,,1,,,,9,2,,10,3,,,,10,3,2,1,3,,,9,6,8,,2,2,2,8,,,8,8,,5,,9,9,3,10,2,,,8,,,4,7,,,4,0,,,,8,1,,,3,,0,8,6,,4,,9,9,,8,,6,,5,,4,,7,,,,,5,3,2,9,,0,,,10,,,4,2,,
101303,4,,,8,,5,,,9,2,9,,3,8,,2,9,,,,3,10,9,,,,6,2,2,,7,6,5,6,,,,3,9,8,3,10,1,,,8,0,,,7,5,2,4,1,7,8,8,8,1,3,,4,,0,,,6,5,,8,,7,,1,5,,5,3,,2,,6,9,2,,,3,2,9,2,0,,,,,,4,,1,
101313,,2,9,4,,5,,,2,8,,3,,,8,,2,,5,8,,2,3,1,3,7,4,7,,,,,,7,,,2,,,4,6,,9,,,5,,,,,,,5,,,5,,,8,5,,3,,,4,6,,,6,,4,,4,,4,,,7,,8,3,,2,,5,,,,,6,8,,7,2,,7,5,,7,7
101318,,,10,2,,9,,,1,4,,,6,5,4,0,,,5,,9,,1,,9,3,8,9,3,6,,6,2,,1,,,,,3,,10,1,9,3,,4,,,9,,3,9,,1,,1,,8,7,6,0,,9,,9,9,7,2,,2,3,2,,,0,,,,,9,,5,1,,2,10,,,2,,,,,,,,,8,9
101325,,4,,7,0,3,,,,,,3,,9,10,10,4,,1,0,,,9,,,,10,0,,0,8,,,10,10,4,10,1,,5,,,,0,,,3,10,5,5,,,,1,,,,10,1,,,10,1,,2,4,10,,6,7,,2,10,,,0,10,6,8,,,,,2,,10,9,,,6,10,10,7,4,,9,,,,1
101335,7,,4,,9,,0,,,,,,,1,9,,,5,7,,,,,,6,2,,,9,9,,,,,1,0,3,,2,3,,,8,,8,,10,7,4,3,6,,7,8,,3,3,,9,7,4,7,,10,4,2,3,,6,2,,,,,,7,4,8,,,,,,9,9,,9,,,,10,,,,9,,6,9,,8
101337,1,,,,,4,,8,10,0,,0,10,,,,10,10,6,1,,,0,,10,0,,,9,4,,,2,,0,,10,,,2,,9,0,7,8,,10,,,10,10,2,4,9,,,10,,3,,,10,1,9,3,3,0,9,2,0,3,0,5,,8,2,5,1,,,10,,,,10,3,,,,10,,0,6,1,,1,3,0,,
101346,,2,3,6,,4,,2,,5,,4,4,,,,,,,,1,,,,,,,,7,2,4,5,3,,,3,,8,2,5,5,6,6,,,4,,,,,,5,2,4,,4,,6,7,,,,1,7,5,1,5,4,4,,,,7,5,,7,3,,,8,,,,6,,5,3,,1,,7,,3,1,,1,8,,,2
101351,,9,,,,,2,,,,,10,0,1,,0,,,,10,0,,1,1,,,,10,,10,1,1,8,0,0,1,0,,,,,1,,,0,6,,0,3,6,,9,7,9,8,,,,10,,2,1,,10,,,,,,,10,,,,0,10,,,,10,10,,6,,,,0,5,,9,0,,3,8,7,0,,,,
101356,5,,3,,8,2,5,1,9,5,,2,4,,,8,,,,,,8,8,,2,2,,2,8,,3,4,3,3,,1,,9,1,,,4,,2,,4,5,,6,1,3,6,,3,,3,,,,,2,10,,,7,,3,,,,,,,,,,,,9,,1,,,8,4,,,4,,,,7,,0,,,,,3,1
101360,9,,4,,4,,,,,8,10,0,4,1,3,,4,,,5,,1,,,3,9,3,,,,7,,10,,10,,6,,,9,1,,,3,1,,5,,10,,,9,3,,,4,7,,,1,,,3,0,10,,,,9,,9,3,3,,,10,1,,7,6,,1,,,,9,,,,,,3,,7,,,,2,,
101363,,,10,3,6,,,7,0,10,1,2,,4,10,9,,2,6,10,,1,,,1,,,,6,,2,3,6,,,,0,,,,6,,10,9,6,5,,4,,,,9,7,8,8,7,0,1,,,,,,9,4,,,3,,5,,,2,10,,,,9,6,10,0,,1,10,4,7,7,,,,,,,,10,9,7,,10,9
101373,,,,,3,,10,,,,9,8,6,,,,10,7,4,,,,,10,9,1,,,,,8,,3,,3,10,,,10,,6,,,,4,,1,8,,9,8,,,,3,5,,9,1,5,5,,,,,,,6,3,,,,8,,7,2,,,,0,10,5,9,1,,,4,4,,3,,8,,,,1,3,0,0,
101377,6,,10,9,0,4,,,,,9,,,10,,,,1,2,3,1,,10,5,,,,,,,,,6,10,,,,2,,,,9,,,,,,7,,,,3,3,0,10,,1,,,2,8,0,,0,,,9,3,7,,,9,8,2,3,,7,5,,,3,6,,,0,,2,,,0,0,10,5,,4,,,,,1
101382,7,2,8,2,8,5,6,4,,,5,2,4,,2,,,,,,,6,,,5,4,4,,,,6,6,5,,,9,4,,1,5,,,,3,5,,,,6,,,5,4,6,7,3,8,3,2,,,3,3,5,4,,2,,,2,,,4,4,8,4,6,4,3,,,,5,4,7,,8,6,,,4,,,3,8,,,4,6,5
101383,4,,,3,,7,4,2,2,8,,,,1,,1,,4,8,6,1,,,1,,,,,7,,7,6,,1,4,8,1,5,0,7,3,3,2,6,1,,2,,,3,2,7,3,,8,1,,3,,,5,1,4,9,6,5,1,3,3,2,,8,,,8,9,2,3,,,,,6,5,6,1,4,,9,1,,,6,,,,8,,,
101389,1,,,4,9,,1,,2,,0,10,4,9,6,0,,,5,5,,,3,,6,,,,8,,,5,0,3,0,,,7,8,1,,10,,7,,2,5,8,0,3,0,,5,,,4,4,8,10,9,,0,,,,1,,7,,4,,,,3,0,,8,2,,6,6,,10,2,3,,,2,,,,,1,,,4,,,,5
101395,,,,0,,7,,,0,10,1,,,,,1,,10,8,0,1,9,3,,2,,,,10,,,9,,,10,,7,1,,8,1,,,,,10,,,,0,10,2,0,7,10,4,,,,,,,,,2,,,,0,0,2,1,8,3,,,9,,,,7,,8,2,,,10,,,0,6,3,7,0,10,,,9,10,
